Date,Species Name,Transect,Location (m),#Plants,#Inflorescences,Flowers/Inf,#Flowers,Method,Notes on Plant Distribution,Notes on Visitation,Name,Picture,,
02/20/2015,Camissonopsis micrantha,BSS (2nd seg. from East),6.55,,N/A,N/A,5,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.83,,N/A,N/A,3,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.85,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.9,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),6.9,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),6.86,,3,2.0,6,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),7.03,,6,1.7,10,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),7.25,,1,2.0,2,Direct,,,Saul G,,,
02/20/2015,Nuttallanthus texanus,BSS (2nd seg. from East),7.06,,N/A,N/A,4,Direct,"Close to another specimen, no others nearby",,Saul G,NT022015a*,NT022015b,
02/20/2015,Nuttallanthus texanus,BSS (2nd seg. from East),7.27,,N/A,N/A,3,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),7.3,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),7.4,,N/A,N/A,9,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),7.35,,N/A,N/A,5,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),7.6,,N/A,N/A,2,Direct,,,Saul G,,,
02/20/2015,Amsinckia intermedia,BSS (2nd seg. from East),8.51,,3,3.0,9,Direct,Solitary,,Saul G,AI022015,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),8.67,,N/A,N/A,7,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),8.7,,N/A,N/A,1,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),8.9,,N/A,N/A,7,Direct,,,Saul G,,,
02/20/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),8.51,,N/A,N/A,6,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),9.35,,2,1.5,3,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),9.8,,1,1.0,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),9.87,,1,1.0,1,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),10.64,,3,2.3,7,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),10.88,,3,2.3,7,Direct,,,Saul G,CRS022015,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),14.83,,2,3.0,6,Direct,,,Saul G,,,
02/20/2015,Cryptantha species,BSS (2nd seg. from East),15.78,,6,2.7,16,Direct,,,Saul G,,,
02/20/2015,Solanum umbelliferum,BSS (2nd seg. from East),18.44,,13,1.8,23,Direct,,,Saul G,,,
02/20/2015,Solanum umbelliferum,BSS (2nd seg. from East),20.64,,1,2.0,2,Direct,,,Saul G,,,
02/20/2015,Solanum umbelliferum,BSS (2nd seg. from East),20.93,,26,1.4,36,Estimate,,,Saul G,SU022015,,
02/20/2015,Solanum umbelliferum,BSS (2nd seg. from East),21.64,,12,1.3,16,Estimate,,,Saul G,,,
02/20/2015,Sisymbrium irio,BSS (2nd seg. from East),21.97,,3,13.0,39,Estimate,,,Saul G,SI022015*,,
02/20/2015,Sisymbrium irio,BSS (2nd seg. from East),21.93,,1,2.0,2,Direct,,,Saul G,,,
02/20/2015,Sisymbrium irio,BSS (2nd seg. from East),21.95,,1,3.0,3,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.07,,3,5.3,16,Direct,,,Saul G,SI022515a*,SI022515b,SI022515c
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.12,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.4,,8,5.3,42,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.4,,2,10.5,21,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.51,,2,2.0,4,Direct,,,Saul G,,,
02/25/2015,Sisymbrium orientale,BSS (2nd seg. from East),22.47,,2,3.0,6,Direct,,,Saul G,SO022515a,SO022515b,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),22.68,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),22.67,,1,3.0,3,Direct,,,Saul G,CRS022515,,
02/25/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),22.69,,NA,NA,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),22.12,,2,2.0,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),22.58,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),22.52,,1,4.0,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),22.08,,2,1.5,3,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),22.43,,3,3.0,9,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.32,,1,3.0,3,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.57,,2,7.0,14,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.54,,1,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),22.98,,3,1.7,5,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),24.48,,4,6.0,24,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),24.57,,3,3.0,9,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),24.12,,5,7.6,38,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),24.34,,3,3.7,11,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),24.61,,2,9.0,18,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),24.84,,3,3.7,11,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),24.9,,2,5.0,10,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),25.1,,2,4.0,8,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),25.1,,2,4.5,9,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),26.58,,3,2.0,6,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),28.13,,3,1.3,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),28.19,,3,1.3,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),27.53,,4,2.0,8,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),29.79,,2,5.0,10,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),29.88,,2,3.5,7,Direct,,,Saul G,,,
02/25/2015,Sisymbrium orientale,BSS (2nd seg. from East),29.89,,5,2.6,13,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),35.53,,10,6.2,62,Direct,,,Saul G,,,
02/25/2015,Sisymbrium irio,BSS (2nd seg. from East),22.6,,2,3.5,7,Direct,,,Saul G,,,
02/25/2015,Lobularia maritima,BSS (2nd seg. from East),30.34,,28,26.0,728,Estimate,,,Saul G,LM022515,,
02/25/2015,Solanum umbelliferum,BSS (2nd seg. from East),31.48,,NA,NA,240,Estimate,,,Saul G,,,
02/25/2015,Camissoniopsis bistorta,BSS (2nd seg. from East),32.43,,NA,NA,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),32.54,,4,2.3,9,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),33.42,,5,1.2,6,Direct,,,Saul G,,,
02/25/2015,Solanum umbelliferum,BSS (2nd seg. from East),34.65,,NA,NA,48,Estimate,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),34.9,,1,2.0,2,Direct,,,Saul G,,,
02/25/2015,Solanum umbelliferum,BSS (2nd seg. from East),37.81,,2,2.0,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),37.77,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),37.86,,3,1.7,5,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),39.55,,1,2.0,2,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),39.87,,3,2.3,7,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),39.92,,4,2.3,9,Direct,,,Saul G,AI022515*,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.02,,2,3.0,6,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),39.7,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),39.77,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),39.87,,1,5.0,5,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.13,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.25,,2,2.0,4,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.11,,2,0.5,1,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.13,,3,2.3,7,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.14,,1,2.0,2,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.14,,2,1.5,3,Direct,,,Saul G,,,
02/25/2015,Amsinckia intermedia,BSS (2nd seg. from East),40.22,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),40.28,,3,2.0,6,Direct,,,Saul G,,,
02/25/2015,Sisymbrium orientale,BSS (2nd seg. from East),42.82,,2,7.5,15,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.44,,1,3.0,3,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.5,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.4,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.86,,4,1.8,7,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.86,,4,1.3,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.64,,4,2.3,9,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.67,,2,2.5,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.68,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.57,,2,1.5,3,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),42.55,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),46.02,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),46.07,,1,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),46.53,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),46.51,,2,1.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),46.53,,1,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),46.72,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.45,,3,1.7,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.51,,7,1.9,13,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.51,,3,2.3,7,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.2,,1,1.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.07,,3,1.3,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.82,,9,1.8,16,Direct,,,Saul G,,,
02/25/2015,Solanum umbelliferum,BSS (2nd seg. from East),48.14,,NA,NA,64,Estimate,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.95,,2,2.0,3,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),47.95,,11,2.0,18,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.22,,3,2.0,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.25,,3,2.0,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.35,,2,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.37,,2,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.44,,1,2.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.87,,2,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.72,,4,2.0,7,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.72,,1,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.73,,1,2.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.87,,3,2.0,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.85,,1,2.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.23,,2,2.0,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.87,,1,2.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.01,,1,2.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.02,,1,2.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.89,,1,2.0,1,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.91,,2,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),48.85,,3,2.0,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.64,,3,2.0,4,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.55,,2,2.0,2,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.59,,3,2.0,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.64,,3,2.0,5,Direct,,,Saul G,,,
02/25/2015,Cryptantha species,BSS (2nd seg. from East),49.77,,2,2.0,2,Direct,,,Saul G,,,
02/25/2015,Penstemon spectabilis,BSS (2nd seg. from East),44.5,,4,2.0,6,Direct,,,Saul G,PS022515a,PS022515b,
03/03/2015,Eriodictyon trichocalyx,USS,"5, Off Transect",1,4,1.5,6,Direct,"4 meters east of transect, many nearby but not flowering",,Saul G,,,
03/03/2015,Marah macrocarpa,USS,"25, Off Transect",1,1026,4.3,4412,Estimate,"10 meters east of transect, large vine",,Saul G,,,
03/03/2015,Apiastrum angustifolium,USS,34,,,,,Estimate,"Clusters of tiny flowers, carpeting open spaces",,Saul G,,,
03/03/2015,Apiastrum angustifolium,USS,42,,,,,Estimate,,,Saul G,,,
03/03/2015,Apiastrum angustifolium,USS,46,,,,,Estimate,,,Saul G,,,
03/04/2015,Amsinckia intermedia,NNG,41,1,3,1.3,4,Direct,Solitary,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,1,7,17,1.1,18,Direct,,,Saul G,,,
03/06/2015,Amsinckia intermedia,BRS,1,5,16,2.8,45,Direct,,,Saul G,,,
03/06/2015,Phacelia distans,BRS,1,1,1,1.0,1,Direct,,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,2,1,1,1.0,1,Direct,,,Saul G,,,
03/06/2015,Amsinckia intermedia,BRS,2,11,15,3.8,57,Direct,,,Saul G,,,
03/06/2015,Phacelia distans,BRS,2,5,4,1.8,7,Direct,,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,3,9,39,1.1,44,Direct,,,Saul G,,,
03/06/2015,Amsinckia intermedia,BRS,3,14,37,2.6,95,Direct,,,Saul G,,,
03/06/2015,Phacelia distans,BRS,3,2,4,1.3,5,Direct,,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,4,15,48,1.1,51,Direct,,,Saul G,,,
03/06/2015,Amsinckia intermedia,BRS,4,5,5,1.2,6,Direct,,,Saul G,,,
03/06/2015,Camissonia bistorta,BRS,4,1,NA,NA,1,Direct,,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,5,13,60,1.1,64,Direct,,,Saul G,,,
03/06/2015,Amsinckia intermedia,BRS,6,1,2,3.0,6,Direct,,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,6,6,45,1.1,49,Direct,,,Saul G,,,
03/06/2015,Amsinckia intermedia,BRS,7,1,4,5.0,20,Direct,,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,7,6,15,1.1,17,Direct,,,Saul G,,,
03/06/2015,Amsinckia intermedia,BRS,8,1,5,4.2,21,Direct,,,Saul G,,,
03/06/2015,Erodium cicutarium,BRS,8,8,39,1.0,39,Direct,,,Saul G,,,
